title,artist,year,genre
La Forza Del Destino - Solenne in Quest' Ora,Enrico Caruso & Antonio Scotti,1906.0,pop
"Wait Till the Sun Shines, Nellie",Byron G Harlan,1906.0,pop
Love Me & the World is Mine,Albert Campbell,1906.0,pop
Love Me & the World is Mine,Henry Burr,1906.0,pop
Camp Meetin' Time,Arthur Collins & Byron G Harlan,1906.0,pop
How'd You Like to Spoon with Me?,Corrine Morgan,1906.0,pop
The Good Old USA,Byron G Harlan,1906.0,pop
Home Sweet Home,Richard Jose,1906.0,pop
Here it Comes Again,Bert Williams,1906.0,pop
Give My Regards to Leicester Square,Victoria Monks,1906.0,pop
Tres Estrelinhas (O Que Tu es),Banda do Corpo de Bombeiros,1906.0,pop
Daddy's Little Girl,Byron G Harlan,1906.0,pop
Forza Del Destino - Solenne in Quest 'Ora (Swear in This Hour),Enrico Caruso,1906.0,pop
"So Long, Mary",Ada Jones,1906.0,pop
College Life,Billy Murray,1906.0,pop
Keep on the Sunny Side,Byron G Harlan,1906.0,pop
"Good Night, Little Girl, Good Night",Henry Burr,1906.0,pop
On the Rocky Road to Dublin,Arthur Pryor's Band,1906.0,pop
Cheyenne (Shy Ann),Billy Murray,1906.0,pop
Will You Love Me in December as You Do in May?,Haydn Quartet,1906.0,pop
Waiting at the Church (My Wife Won't Let Me),Ada Jones,1906.0,pop
Waltz Me Round Again,Florrie Ford,1906.0,pop
Perdao Emilia,Eduardo das Neves,1906.0,pop
Por Um Beijo,Mario Pinheiro,1906.0,pop
I Want What I Want When I Want It,George Alexander,1906.0,pop
"Good-Bye, Sweetheart, Good-Bye",Frank Stanley,1906.0,pop
There Never was a Girl Like You,James McCool,1906.0,pop
Peaches 'n' Cream,Len Spencer & Ada Jones,1906.0,pop
St Louis Tickle,Vess Ossman,1906.0,pop
I Want What I Want When I Want It,Frank Stanley,1906.0,pop
In Dear Old Georgia,Haydn Quartet,1906.0,pop
Vesti La Giubba (On With The Play) (1907),Enrico Caruso,1907.0,pop
Auld Lang Syne,Frank Stanley,1907.0,pop
Because You're You,Harry MacDonough & Elise Stevenson,1907.0,pop
He's a Cousin of Mine,Bert Williams,1907.0,pop
My Gal Sal,Byron G Harlan,1907.0,pop
My Dear,Harry MacDonough,1907.0,pop
Minas Gerais,Eduardo das Neves,1907.0,pop
I Do Like to Be Beside The Seaside,Florrie Ford,1907.0,pop
I Just Can't Make My Eyes Behave,Ada Jones,1907.0,pop
School Days (When We Were a Couple of Kids),Byron G Harlan,1907.0,pop
Harrigan,Billy Murray,1907.0,pop
Let's Take an Old-Fashioned Walk,Ada Jones & Billy Murray,1907.0,pop
Nobody's Little girl,Byron G Harlan,1907.0,pop
Rigoletto - E Il Sol Dell Prima (Love is the Sun),Alice Nielsen & Florencio Constantino,1907.0,pop
Madama Butterfly: Tutti I Fior (Duet of the Flowers),Geraldine Farrar & Louise Homer,1907.0,pop
I Know a Lovely Garden,Derek Oldman,1907.0,pop
Wedding of Uncle Josh & Aunt Nancy,Cal Stewart,1907.0,pop
No Wedding Bells for Me,Billy Murray,1907.0,pop
Merry Widow Waltz,Victor Orchestra,1907.0,pop
Take Me Around Again,Billy Murray,1907.0,pop
I Love a Lassie (My Scotch Bluebell),Harry Lauder,1907.0,pop
Red Wing (An Indian Fable),Frank Stanley & Henry Burr,1907.0,pop
Maple Leaf Rag,US Marine Band,1907.0,pop
My Wild Irish Rose,Haydn Quartet,1907.0,pop
He Goes to Church on Sunday,Billy Murray,1907.0,pop
My Irish Rosie,Ada Jones,1907.0,pop
Take Me Back to New York Town,Harry Tally,1907.0,pop
Honey Boy,Peerless Quartet,1907.0,pop
In the Wildwood Where the Blue Bells Grew,Haydn Quartet,1907.0,pop
Whistle It,Ada Jones & Billy Murray,1907.0,pop
San Francisco Bay,Billy Murray,1907.0,pop
By The Side of The Zuyder Zee,Gerald Adams,1907.0,pop
Rose in The Bud,Eleanor Jones Hudson,1907.0,pop
If the Man in the Moon Were a Coon,Ada Jones,1907.0,pop
It's Nice to Have a Sweetheart,Ada Jones & Billy Murray,1907.0,pop
The Tale The Church Bell Tolled,Harry MacDonough,1907.0,pop
The Game of Peek-a-Boo (I'd Like to See a Little More of You),Ada Jones & Billy Murray,1907.0,pop
The Bird on Nellie's Hat,Helen Trix,1907.0,pop
"If I'm Goin' to Die, I'm Goin' To Have Some Fun",Arthur Collins,1907.0,pop
I've Such a Funny Feeling When I Look at You,Bert Williams,1907.0,pop
Take Me Out To The Ball Game,Billy Murray & Haydn Quartet,1908.0,pop
"No News, Or What Killed the Dog",Nat Wills,1908.0,pop
Take Me Out To The Ball Game,Edward Meeker,1908.0,pop
The Glow-Worm,Victor Orchestra,1908.0,pop
The Glow-Worm,Lucy Isabelle Marsh,1908.0,pop
Are You Sincere?,Elise Stevenson,1908.0,pop
Adam & Eve,Grace Cameron,1908.0,pop
Os Namorados da Lua,Mario Pinheiro,1908.0,pop
O Sole Mio,Emilio DeGogorza,1908.0,pop
The Small Town Gal,George M Cohan,1908.0,pop
Under Any Old Flag at All,Billy Murray,1908.0,pop
Cuddle Up a Little Closer,Ada Jones & Billy Murray,1908.0,pop
As Long as the World Rolls On,Alan Turner,1908.0,pop
Sunbonnet Sue,Haydn Quartet,1908.0,pop
When We Are M-A-Double-R-I-E-D,Ada Jones & Billy Murray,1908.0,pop
Wouldn't You Like to Have Me for a Sweetheart?,Ada Jones & Billy Murray,1908.0,pop
The Dusky Salome,Maude Raymond,1908.0,pop
Madama Butterfly - Finale Act I: O Quantiocchi Fisi (O Kindly Heavens),Enrico Caruso & Geraldine Farrar,1908.0,pop
Rigoletto - La Donna E' Mobile (Woman is Fickle),Enrico Caruso,1908.0,pop
Il Trovatore - Ai Nostri Monti (Home to Our Mountains),Enrico Caruso & Louise Homer,1908.0,pop
"When You & I Were Young, Maggie",Will Oakland,1908.0,pop
O Que Tu es,Mario Pinheiro,1908.0,pop
Goodbye Molly Brown,Maude Raymond,1908.0,pop
My Gal Irene,Arthur Collins & Byron G Harlan,1908.0,pop
She's the Fairest Little Flower Old Dixie Ever Grew,Frank Stanley & Henry Burr,1908.0,pop
Over the Hills & Far Away,Harry MacDonough & John Bieling,1908.0,pop
Any Old Port in a Storm,Frank Stanley,1908.0,pop
As Long as the World Rolls On,Reinald Werrenrath,1908.0,pop
I've Taken Quite a Fancy to You,Ada Jones & Billy Murray,1908.0,pop
Keep On Smiling,Haydn Quartet,1908.0,pop
Take Me Out To The Ball Game,Jack Norworth,1908.0,pop
Smarty,Ada Jones & Billy Murray,1908.0,pop
Nini Peau D'chien,Aristide Bruant,1908.0,pop
Bolim Bolacho,Eduardo das Neves,1908.0,pop
There Never was a Girl Like You,Byron G Harlan,1908.0,pop
Kiss Duet (Sweetest Maid of All),Harry MacDonough & Elise Stevenson,1908.0,pop
It Looks Like a Big Night To-Night,Billy Murray,1908.0,pop
School Day,Albert Campbell,1908.0,pop
You Have Always Been the Same Old Pal,Henry Burr,1908.0,pop
There's No Moon Like the Honeymoon,Ada Jones & Billy Murray,1908.0,pop
"Swing Low, Sweet Chariot",Fisk University Jubilee Quartet,1909.0,pop
I've Got Rings on My Fingers,Blanche Ring,1909.0,pop
The Yama Yama Man,Ada Jones & Victor Light Opera Co,1909.0,pop
I Wonder Who's Kissing Her Now,Henry Burr,1909.0,pop
I've Got Rings on My Fingers,Ada Jones,1909.0,pop
Put on Your Old Gray Bonnet,Haydn Quartet,1909.0,pop
Moonstruck,Gertie Miller,1909.0,pop
Choro & Poesia,Banda da Casa Edison,1909.0,pop
"Good Evening, Caroline",Frank Stanley & Elise Stevenson,1909.0,pop
"Shine on, Harvest Moon",Ada Jones & Billy Murray,1909.0,pop
To the End of the World with You,Henry Burr,1909.0,pop
"Shine on, Harvest Moon",Harry MacDonough & Elise Stevenson,1909.0,pop
"The Right Church, but the Wrong Pew",Arthur Collins & Byron G Harlan,1909.0,pop
e Loucura Meu Anjo,Mario Pinheiro,1909.0,pop
Yip-I-Addy-I-Ay,George Grossmith Jr,1909.0,pop
