title,artist,year,genre
My Bucket's Got a Hole in it,Hank Williams,1949.0,country
I'll Never Slip Around Again,Floyd Tillman,1949.0,country
Don't Rob Another Man's Castle,Eddy Arnold,1949.0,country
Please Don't Let Me Love You,George Morgan,1949.0,country
Blue Skirt Waltz,Frankie Yankovic and His Yanks,1949.0,country
I Love Everything About You,George Morgan,1949.0,country
You're Gonna Change (Or I'm Gonna Leave),Hank Williams,1949.0,country
I Wish I Had A Nickel,Jimmy Wakely,1949.0,country
Why Don't You Haul Off And Love Me,Bob Atcher,1949.0,country
Let's Say Goodbye Like We Said Hello,Ernest Tubb,1949.0,country
Room Full Of Roses,George Morgan,1949.0,country
Mind Your Own Business,Hank Williams,1949.0,country
Blues Stay Away From Me,Eddie Crosby,1949.0,country
Riders In The Sky (Cowboy Legend),Burl Ives,1949.0,country
Cry-Baby Heart,George Morgan,1949.0,country
Tennessee Saturday Night,Johnny Bond,1949.0,country
Whoa Sailor,Hank Thompson,1949.0,country
Will Santy Come to Shanty Town,Eddy Arnold,1949.0,country
Candy Kisses,Bud Hobbs with His Trail Herders,1949.0,country
My Filipino Rose,Ernest Tubb,1949.0,country
Here Comes Santa Claus (Down Santa Claus Lane),Gene Autry,1949.0,country
Never Again (Will I Knock on Your Door),Hank Williams,1949.0,country
Panhandle Rag,Leon McAuliffe,1949.0,country
Mean Mama Blues,Ernest Tubb,1949.0,country
"Baby, It's Cold Outside",Homer and Jethro,1949.0,country
The Death Of Little Kathy Fiscus,Jimmie Osborne,1949.0,country
Country Boy,Little Jimmy Dickens,1949.0,country
Take An Old Cold 'Tater (And Wait),Jimmie Dickens,1949.0,country
White Christmas,Ernest Tubb,1949.0,country
Warm Red Wine,Ernest Tubb,1949.0,country
C-H-R-I-S-T-M-A-S,Eddy Arnold,1949.0,country
Rainbow In My Heart,George Morgan,1949.0,country
Smokey Mountain Boogie,Tennessee Ernie,1949.0,country
The Same Sweet Girl,Hank Locklin,1949.0,country
Till The End Of The World,Ernest Tubb,1949.0,country
Wedding Bells,Hank Williams,1949.0,country
Guitar Boogie,Arthur Guitar Boogie Smith,1949.0,country
Mine All Mine,Jimmy Wakely,1949.0,country
"Two Cents, Three Eggs And A Postcard",Red Foley,1949.0,country
Show Me the Way Back to Your Heart,Eddy Arnold,1949.0,country
Lavender Blue (Dilly Dilly),Burl Ives and Captain Stubby and the Buccaneers,1949.0,country
